station_name,station_type,province,city,district,start_time,end_time,up_arrival_delay_number,down_arrival_delay_number,up_departure_delay_number,down_depature_delay_number,wind,weather,temperature,major_holiday
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 22:00,2019/10/9 23:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/9 23:00,2019/10/10 0:00,0,0,0,0,moderate breeze from the SW,sunny,17,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 0:00,2019/10/10 1:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 1:00,2019/10/10 2:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 2:00,2019/10/10 3:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 3:00,2019/10/10 4:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 4:00,2019/10/10 5:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 5:00,2019/10/10 6:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 6:00,2019/10/10 7:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 7:00,2019/10/10 8:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 8:00,2019/10/10 9:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 9:00,2019/10/10 10:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 10:00,2019/10/10 11:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 11:00,2019/10/10 12:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 12:00,2019/10/10 13:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 13:00,2019/10/10 14:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 14:00,2019/10/10 15:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 15:00,2019/10/10 16:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 16:00,2019/10/10 17:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 17:00,2019/10/10 18:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 18:00,2019/10/10 19:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 19:00,2019/10/10 20:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 20:00,2019/10/10 21:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 21:00,2019/10/10 22:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 22:00,2019/10/10 23:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/10 23:00,2019/10/11 0:00,0,0,0,0,moderate breeze from the NW,light rain,16,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 0:00,2019/10/11 1:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 1:00,2019/10/11 2:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 2:00,2019/10/11 3:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 3:00,2019/10/11 4:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 4:00,2019/10/11 5:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 5:00,2019/10/11 6:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 6:00,2019/10/11 7:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 7:00,2019/10/11 8:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 8:00,2019/10/11 9:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 9:00,2019/10/11 10:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 10:00,2019/10/11 11:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 11:00,2019/10/11 12:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 12:00,2019/10/11 13:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 13:00,2019/10/11 14:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 14:00,2019/10/11 15:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 15:00,2019/10/11 16:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 16:00,2019/10/11 17:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 17:00,2019/10/11 18:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 18:00,2019/10/11 19:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 19:00,2019/10/11 20:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 20:00,2019/10/11 21:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 21:00,2019/10/11 22:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 22:00,2019/10/11 23:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/11 23:00,2019/10/12 0:00,0,0,0,0,gentle breeze from the W,sunny,12,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 0:00,2019/10/12 1:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 1:00,2019/10/12 2:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 2:00,2019/10/12 3:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 3:00,2019/10/12 4:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 4:00,2019/10/12 5:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 5:00,2019/10/12 6:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 6:00,2019/10/12 7:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 7:00,2019/10/12 8:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 8:00,2019/10/12 9:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 9:00,2019/10/12 10:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 10:00,2019/10/12 11:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 11:00,2019/10/12 12:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 12:00,2019/10/12 13:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 13:00,2019/10/12 14:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 14:00,2019/10/12 15:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 15:00,2019/10/12 16:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 16:00,2019/10/12 17:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 17:00,2019/10/12 18:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 18:00,2019/10/12 19:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 19:00,2019/10/12 20:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 20:00,2019/10/12 21:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 21:00,2019/10/12 22:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 22:00,2019/10/12 23:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/12 23:00,2019/10/13 0:00,0,0,0,0,gentle breeze from the N,sunny,10,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 0:00,2019/10/13 1:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 1:00,2019/10/13 2:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 2:00,2019/10/13 3:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 3:00,2019/10/13 4:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 4:00,2019/10/13 5:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 5:00,2019/10/13 6:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 6:00,2019/10/13 7:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 7:00,2019/10/13 8:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 8:00,2019/10/13 9:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 9:00,2019/10/13 10:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 10:00,2019/10/13 11:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 11:00,2019/10/13 12:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 12:00,2019/10/13 13:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 13:00,2019/10/13 14:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 14:00,2019/10/13 15:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 15:00,2019/10/13 16:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 16:00,2019/10/13 17:00,1,0,1,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 17:00,2019/10/13 18:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 18:00,2019/10/13 19:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 19:00,2019/10/13 20:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 20:00,2019/10/13 21:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 21:00,2019/10/13 22:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 22:00,2019/10/13 23:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/13 23:00,2019/10/14 0:00,0,0,0,0,gentle breeze from the NW,cloudy,9,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/14 0:00,2019/10/14 1:00,0,0,0,0,gentle breeze from the W,sunny,8,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/14 1:00,2019/10/14 2:00,0,0,0,0,gentle breeze from the W,sunny,8,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/14 2:00,2019/10/14 3:00,0,0,0,0,gentle breeze from the W,sunny,8,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/14 3:00,2019/10/14 4:00,0,0,0,0,gentle breeze from the W,sunny,8,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/14 4:00,2019/10/14 5:00,0,0,0,0,gentle breeze from the W,sunny,8,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/14 5:00,2019/10/14 6:00,0,0,0,0,gentle breeze from the W,sunny,8,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/14 6:00,2019/10/14 7:00,0,0,0,0,gentle breeze from the W,sunny,8,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/14 7:00,2019/10/14 8:00,0,0,0,0,gentle breeze from the W,sunny,8,False
